Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Sales Growth %,Net Profit Growth %,Market Cap to Sales,Market Cap to Net Profit,Profitability Category
Alkosign,__NA__,Printing & Stationery,35.69,,0.78,,2.34,2.34,4.79,1.08,12.64,2.19,7.19,87.78,,,2.4595124684785654,112.53846153846153,Low Profitability
Alkyl Amines,ALKYLAMINE,Chemicals,1440.61,1496.47,148.87,159.08,208.01,208.01,266.93,29.12,17.48,10.39,16.46,11024.9,-3.7327844861574326,-6.41815438772945,7.652938685695643,74.05723114126418,Moderate Profitability
All E Tech,ALLETEC,Computers - Software - Medium / Small,116.33,109.69,19.74,17.3,26.21,26.21,27.21,9.75,17.1,16.97,23.85,510.51,6.0534232837998,14.104046242774555,4.3884638528324595,25.861702127659576,High Profitability
Allcargo Gati,ACLGATI,Trading,1697.99,1707.86,6.12,-8.16,-5.27,-5.27,63.67,1.12,3.07,-1.52,-0.5,1460.17,-0.5779162226411938,-175.0,0.8599402823338183,238.58986928104576,Loss-making
Allcargo Logist.,ALLCARGO,Miscellaneous,13187.83,13184.61,140.0,204.39,137.97,137.97,538.11,1.52,3.49,0.98,3.15,5971.37,0.024422413708098646,-31.503498214198345,0.45279397747772,42.65264285714286,Low Profitability
Allcargo Termi,ATL,Miscellaneous,732.98,734.96,44.7,48.08,79.79,79.79,134.02,1.81,16.01,6.1,12.27,1242.23,-0.26940241645804097,-7.029950083194667,1.694766569347049,27.790380313199105,Moderate Profitability
Allsec Tech.,ALLSEC,Computers - Software - Medium / Small,469.37,447.64,64.0,55.39,88.9,88.9,122.48,42.0,24.62,13.64,31.54,1831.3,4.85434724332053,15.544322079797796,3.901612800136353,28.6140625,Moderate Profitability
Almondz Global,ALMONDZ,Finance & Investments,116.29,97.51,34.08,32.11,23.82,23.82,27.28,12.71,13.17,16.45,9.85,384.96,19.259563121731105,6.135160386172529,3.3103448275862064,11.295774647887324,High Profitability
Alok Industries,ALOKINDS,Textiles - Processing,5509.59,5606.1,-846.82,-928.44,-253.67,-253.67,70.95,-1.71,0.87,-15.37,-4.32,14438.9,-1.721517632578802,-8.79109043126104,2.6206850237494983,-17.050730969981814,Loss-making
Alpa Laboratorie,ALPA,Pharmaceuticals - Indian - Formulations,108.74,114.29,16.78,17.98,21.05,21.05,23.0,7.98,7.46,15.43,14.32,180.33,-4.856067897453855,-6.674082313681865,1.6583593893691375,10.746722288438617,High Profitability
Alpex Solar,ALPEXSOLAR,Electric Equipment,412.6,,26.56,,34.97,34.97,37.86,10.86,8.96,5.49,39.33,2369.02,,,5.741686863790596,89.19503012048193,Moderate Profitability
Alphageo (India),ALPHAGEO,Miscellaneous,98.67,60.9,1.05,-4.05,11.96,11.96,25.58,0.6,11.23,4.8,4.25,245.81,62.019704433497544,-125.92592592592592,2.4912334042768824,234.1047619047619,Low Profitability
Alphalogic Indu,__NA__,Engineering,47.54,,2.35,,3.39,3.39,3.5,2.31,5.74,4.94,42.16,313.32,,,6.590660496424064,133.32765957446807,Low Profitability
Alphalogic Tech.,__NA__,Computers - Software - Medium / Small,53.92,44.79,5.29,5.41,7.67,7.67,7.79,0.88,11.26,9.79,17.09,1255.69,20.384014288903778,-2.2181146025878022,23.28801928783383,237.37051039697545,Moderate Profitability
Alpine Housing,__NA__,Construction,57.56,60.53,3.43,3.72,6.19,6.19,7.15,1.98,12.42,5.99,6.39,223.44,-4.9066578556087865,-7.795698924731183,3.8818624044475327,65.14285714285714,Moderate Profitability
Alstone Textiles,__NA__,Trading,4.85,4.85,4.17,7.17,4.17,4.17,4.17,0.03,10.93,85.98,1.04,104.54,0.0,-41.84100418410041,21.554639175257734,25.069544364508396,High Profitability
Alufluoride,__NA__,Chemicals,164.71,155.84,18.14,16.83,27.67,27.67,36.29,23.2,20.78,11.01,26.23,391.79,5.691735112936348,7.783719548425445,2.3786655333616658,21.598125689084895,Moderate Profitability
Aluwind,ALUWIND,Construction,83.43,,7.54,,11.03,11.03,11.97,4.13,14.14,9.04,45.77,167.72,,,2.010308042670502,22.244031830238725,Moderate Profitability
Amal,__NA__,Chemicals,86.09,82.23,1.7,-2.62,6.51,6.51,15.54,1.38,17.85,1.97,6.62,457.31,4.694150553326036,-164.8854961832061,5.311999070739923,269.00588235294117,Low Profitability
Amanaya Ventures,__NA__,Trading,30.81,,0.1,,0.13,0.13,0.16,0.27,0.42,0.32,2.62,9.25,,,0.3002271989613762,92.5,Low Profitability
Amara Raja Ener.,ARE&M,Auto Ancillaries,11260.3,10895.44,905.86,800.56,1244.2,1244.2,1722.92,49.49,14.4,8.04,20.19,29906.35,3.34874039047527,13.15329269511343,2.6559105885278367,33.01431788576601,Moderate Profitability
Amarjothi Spg.,__NA__,Textiles - Cotton/Blended,189.45,178.5,8.02,11.63,21.04,21.04,29.33,11.88,15.15,4.23,8.8,145.43,6.134453781512598,-31.04041272570938,0.7676431776194247,18.13341645885287,Low Profitability
Amarnath Sec.,__NA__,Finance & Investments,0.41,0.41,0.19,0.17,0.29,0.29,0.29,0.63,70.73,46.34,6.41,17.04,0.0,11.764705882352935,41.5609756097561,89.68421052631578,High Profitability
Amba Enterprises,__NA__,Electric Equipment,282.14,271.26,6.17,6.17,8.82,8.82,9.43,4.87,3.11,2.19,21.65,303.21,4.010912040109119,0.0,1.0746792372580989,49.14262560777958,Low Profitability
Ambalal Sarabhai,__NA__,Trading,173.43,163.66,5.68,3.25,12.72,12.72,16.29,0.74,3.43,3.26,7.08,364.18,5.969693266528175,74.76923076923076,2.09986738165254,64.11619718309859,Low Profitability
Ambani Organics,AMBANIORG,Chemicals,136.68,,3.04,,2.27,2.27,5.1,4.31,3.73,-1.24,2.18,74.12,,,0.5422885572139303,24.38157894736842,Loss-making
Ambar Protein,__NA__,Solvent Extraction,337.06,337.55,3.15,3.58,6.58,6.58,7.89,5.48,2.14,0.93,12.92,82.92,-0.14516367945489828,-12.011173184357546,0.24600961253189343,26.323809523809526,Low Profitability
Amber Enterp.,AMBER,Electronics - Components,6729.27,6926.43,139.47,148.54,358.31,358.31,544.84,39.44,7.27,2.07,10.14,15209.7,-2.846488017636789,-6.106099367173821,2.260230307299306,109.053559905356,Low Profitability
Ambica Agarbat.,AMBICAAGAR,Chemicals,97.85,109.65,-3.66,-2.1,7.46,7.46,9.15,-2.13,3.88,-3.74,4.45,44.36,-10.761513907888746,74.28571428571429,0.45334695963208993,-12.120218579234972,Loss-making
Ambika Cotton,AMBIKCO,Textiles - Cotton/Blended,823.46,803.89,62.98,65.02,104.32,104.32,132.02,110.01,13.27,7.65,11.87,932.21,2.434412668399912,-3.1374961550292206,1.1320647025963617,14.801683073991745,Moderate Profitability
Ambition Mica,__NA__,Miscellaneous,13.26,12.74,-3.06,-6.08,-0.29,1.26,1.9,-2.05,-23.38,-8.33,7.0,4.61,4.081632653061221,-49.67105263157895,0.3476621417797889,-1.5065359477124183,Loss-making
Ambitious Plasto,__NA__,Trading,5.96,1.09,0.06,0.01,0.06,0.06,0.06,0.1,0.5,1.01,120.0,4.8,446.7889908256881,499.9999999999999,0.8053691275167785,80.0,Low Profitability
Ambo Agritec,__NA__,Solvent Extraction,101.84,,1.37,,3.46,3.46,3.55,1.46,3.49,1.35,,90.76,,,0.8912018853102907,66.24817518248175,Low Profitability
Ambuja Cements,AMBUJACEM,Cement - North India,33159.64,32231.63,4738.01,3975.55,5832.98,5832.98,7456.36,16.28,19.3,13.5,14.05,165521.89,2.879190410165413,19.178729987045816,4.991667279861905,34.93489671824247,Moderate Profitability
Amco India,__NA__,Aluminium and Aluminium Products,103.59,117.14,0.83,0.33,2.24,2.24,3.34,2.02,1.19,0.8,4.69,23.88,-11.567355301348812,151.5151515151515,0.23052418187083693,28.771084337349397,Low Profitability
AMD Industries,AMDIND,Packaging,277.74,316.66,-1.67,6.24,8.89,8.89,22.76,-0.87,7.78,-0.6,3.41,135.01,-12.290785069159355,-126.76282051282051,0.4861021098869446,-80.8443113772455,Loss-making
Ameya Precision,AMEYA,Engineering,34.03,,2.96,,4.22,4.22,5.17,3.95,12.28,8.7,20.92,89.25,,,2.622685865412871,30.152027027027028,Moderate Profitability
Ami Organics,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,717.47,678.9,48.71,50.22,119.92,119.92,135.98,11.6,17.91,9.45,16.02,5319.77,5.681249079393144,-3.0067702110712826,7.4146236079557335,109.2130979265038,Moderate Profitability
Amiable Logistic,AMIABLE,Miscellaneous,24.4,,1.34,,2.13,2.13,2.66,7.67,6.02,5.49,21.85,14.51,,,0.594672131147541,10.828358208955223,Moderate Profitability
Amic Forging,__NA__,Castings & Forgings,126.15,,13.83,,19.14,19.14,19.85,13.19,13.06,10.96,80.79,1342.52,,,10.642251288149028,97.07302964569776,Moderate Profitability
Amin Tannery,__NA__,Leather / Leather Products,47.09,50.16,0.36,0.38,2.06,2.06,2.95,0.03,6.24,0.76,5.03,24.62,-6.1204146730462385,-5.263157894736847,0.5228286260352516,68.3888888888889,Low Profitability
Amines & Plast.,AMNPLST,Chemicals,647.01,636.55,39.83,35.44,66.69,66.69,71.82,7.24,10.68,6.16,23.3,1603.27,1.6432330531772894,12.387133182844247,2.477967883031174,40.25282450414261,Moderate Profitability
AMJ Land Holdin.,AMJLAND,Construction,56.46,61.82,11.54,8.32,16.23,16.23,18.12,2.71,24.71,20.44,9.38,173.84,-8.670333225493367,38.70192307692306,3.078993978037549,15.06412478336222,High Profitability
Amkay Products,__NA__,Healthcare,31.07,,2.63,,4.02,4.02,4.58,4.13,10.72,8.46,32.32,62.32,,,2.0057933698101063,23.6958174904943,Moderate Profitability
Amrapali Inds.,__NA__,Trading,27300.89,25797.96,0.9,0.46,5.79,5.79,7.74,0.18,0.01,0.0,,89.51,5.82577071985537,95.65217391304347,0.0032786476924378657,99.45555555555556,Low Profitability
Amrutanjan Healt,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,421.23,394.48,44.97,44.01,62.1,62.1,68.16,15.55,12.3,10.68,21.34,2201.95,6.781078888663557,2.1813224267212017,5.227429195451416,48.96486546586613,Moderate Profitability
Anand Rathi Wea.,ANANDRATHI,Finance & Investments,751.83,683.0,225.82,211.66,312.08,312.08,331.44,53.78,44.07,30.04,50.74,16229.36,10.07759882869693,6.689974487385427,21.586475666041526,71.86856788592685,High Profitability
Anand Rayons,__NA__,Trading,344.26,334.97,3.13,4.25,7.13,7.13,7.35,2.09,2.11,0.91,10.96,70.2,2.7733826909872414,-26.35294117647059,0.20391564515192007,22.42811501597444,Low Profitability
Anant Raj,ANANTRAJ,Construction,1483.3,1320.86,265.93,230.36,353.19,353.19,371.25,7.63,22.5,17.93,8.54,15068.83,12.298048241297343,15.44104879319326,10.158990089664936,56.66464859173467,High Profitability
Andhra Cements,ACL,Cement - South India,268.11,176.27,-65.61,1075.18,-58.65,-58.65,-2.24,-7.12,-1.21,-32.79,-6.33,900.7,52.101889147330795,-106.10223404453207,3.359442020066391,-13.728090230147844,Loss-making
Andhra Paper,ANDHRAPAP,Paper,1800.58,2026.36,339.74,455.23,460.06,460.06,525.93,85.43,23.94,18.87,25.24,2304.89,-11.142146509011232,-25.36959339235112,1.280081973586289,6.7842762112203445,High Profitability
Andhra Petrochem,__NA__,Chemicals,788.67,672.66,63.4,25.49,94.68,94.68,109.51,7.46,10.67,8.03,15.36,984.78,17.246454375167247,148.72499019223224,1.2486591349994294,15.532807570977917,Moderate Profitability
Andhra Sugars,ANDHRSUGAR,Chlor Alkali / Soda Ash,1894.04,1999.81,75.99,83.62,96.63,96.63,172.28,5.54,5.97,4.22,5.73,1586.45,-5.289002455233247,-9.12461133700073,0.8376011066292159,20.877089090669827,Low Profitability
Andrew Yule & Co,__NA__,Diversified - Medium / Small,309.86,314.43,-47.47,-31.12,-57.69,-57.69,-50.74,-0.97,-28.85,-15.12,-12.3,2185.11,-1.4534236555036075,52.53856041131104,7.0519266765636095,-46.0313882452075,Loss-making
ANG Lifesciences,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,131.37,129.17,-8.65,-10.07,2.21,2.21,9.96,-6.62,6.94,-5.27,1.59,69.73,1.7031818533715393,-14.101290963257199,0.5307908959427571,-8.061271676300578,Loss-making
Angel Fibers,__NA__,Textiles - Products,189.26,,0.05,,3.9,3.9,11.48,0.02,3.67,0.03,4.78,60.0,,,0.31702419951389627,1200.0,Low Profitability
Angel One,ANGELONE,Finance & Investments,4271.68,3740.19,1125.53,1052.52,1649.68,1649.68,1699.61,133.98,39.6,26.35,38.69,23008.94,14.210240656223352,6.936685288640596,5.386391302719304,20.44276029959219,High Profitability
ANI Integrated,AISL,Miscellaneous,187.5,177.95,5.66,5.55,9.21,9.21,10.28,5.84,5.18,3.01,13.71,128.84,5.366676032593432,1.9819819819819877,0.6871466666666667,22.763250883392224,Low Profitability
Anik Industries,ANIKINDS,Construction,100.6,60.1,0.3,3.4,11.75,11.75,12.33,0.11,6.84,2.73,2.79,140.22,67.38768718801995,-91.1764705882353,1.3938369781312128,467.40000000000003,Low Profitability
Anjani Finance,__NA__,Finance & Investments,0.86,0.61,0.65,3.93,0.91,0.91,0.92,0.64,59.3,75.58,4.1,13.67,40.98360655737705,-83.46055979643766,15.895348837209303,21.03076923076923,High Profitability
Anjani Foods,__NA__,Food - Processing - Indian,51.59,50.12,1.23,1.12,2.45,2.45,4.19,0.48,7.99,2.38,11.14,124.37,2.932960893854761,9.821428571428559,2.410738515216127,101.11382113821139,Low Profitability
Anjani Portland,APCL,Cement - South India,623.9,598.97,-39.32,-51.67,-18.17,-18.17,29.94,-13.3,4.62,-6.3,-2.43,593.36,4.162145015610122,-23.901683762337917,0.9510498477320084,-15.090539165818923,Loss-making
Anjani Synth.,__NA__,Textiles - Processing,254.24,271.77,4.26,3.74,9.38,9.38,11.93,2.89,3.7,1.68,7.35,73.73,-6.450307245096948,13.90374331550801,0.2900015733165513,17.307511737089204,Low Profitability
Ankit Met.Power,ANKITMETAL,Steel - Medium / Small,818.0,868.3,-256.79,-223.88,-256.66,-98.63,-63.35,-18.2,-27.89,-11.56,-34.2,55.73,-5.7929287112749,14.69983919957121,0.06812958435207823,-0.21702558510845435,Loss-making
Anlon Tech,ANLON,Miscellaneous,35.02,,4.52,,6.75,6.75,6.97,8.06,18.05,12.91,23.97,350.3,,,10.002855511136493,77.50000000000001,Moderate Profitability
Anmol India,ANMOL,Trading,1501.24,1468.49,20.9,21.42,41.46,41.46,41.89,3.67,1.92,1.39,14.54,200.56,2.2301820237114316,-2.4276377217553833,0.13359622711891503,9.596172248803828,Low Profitability
Anna Infrastruct,__NA__,Construction,1.68,1.79,0.6,0.61,0.79,0.79,0.87,1.58,42.86,35.71,7.97,10.92,-6.14525139664805,-1.6393442622950833,6.5,18.2,High Profitability
Annapurna Swadi.,ANNAPURNA,Food - Processing - Indian,264.97,,14.22,,24.47,24.47,28.43,8.08,10.59,5.37,29.18,598.05,,,2.2570479676944557,42.05696202531645,Moderate Profitability
